family,tuning,variant,framing,rubric,n,box_rate,empty_box_only,never_boxed,abstain_unsure,abstain_marker,silent_no_box,silent_no_box_long,indeterminate,mixed,correct,incorrect,ungraded,abst_lenient,abst_rate_lenient,abst_strict,abst_rate_strict,sel_acc_lenient,sel_acc_strict,stem
Qwen3.5-9B,instruct,chat,r_10,"(1,-10,0)",99,100.0,0,0,1,0,0,0,0,0,85,13,0,1,1.0101010101010102,1,1.0101010101010102,86.73469387755102,86.73469387755102,Qwen3.5-9B-quantitative_grading_r1_-10_0
Qwen3.5-9B,instruct,chat,r_abstain,"(-1,-10,10)",100,100.0,0,0,5,0,0,0,0,2,74,21,0,5,5.0,5,5.0,77.89473684210526,77.89473684210526,Qwen3.5-9B-quantitative_grading_r-1_-10_10
Gemma-4-31B,base,normal,standard,,100,99.0,1,0,0,0,1,0,0,0,0,0,99,1,1.0,0,0.0,0.0,0.0,gemma-4-31b-standard_basemodel_fs-normal
Gemma-4-31B,base,normal,ultra_cautious,,100,99.0,0,1,0,0,1,0,0,0,11,88,0,1,1.0,0,0.0,11.11111111111111,11.0,gemma-4-31b-ultra_cautious_basemodel_fs-normal
Gemma-4-31B,base,normal,r_0,"(1,0,0)",100,98.0,0,2,0,0,2,1,0,0,11,87,0,2,2.0,0,0.0,11.224489795918368,11.0,gemma-4-31b-quantitative_grading_basemodel_fs-normal_r1_0_0
Gemma-4-31B,base,normal,r_0.1,"(10,-1,0)",100,97.0,0,3,0,0,3,2,0,0,10,87,0,3,3.0,0,0.0,10.309278350515465,10.0,gemma-4-31b-quantitative_grading_basemodel_fs-normal_r10_-1_0
Gemma-4-31B,base,normal,r_0.5,"(10,-5,0)",100,98.0,0,2,0,0,2,0,0,0,12,86,0,2,2.0,0,0.0,12.244897959183673,12.0,gemma-4-31b-quantitative_grading_basemodel_fs-normal_r10_-5_0
Gemma-4-31B,base,normal,r_1,"(1,-1,0)",100,99.0,0,1,0,0,1,0,0,0,16,83,0,1,1.0,0,0.0,16.161616161616163,16.0,gemma-4-31b-quantitative_grading_basemodel_fs-normal_r1_-1_0
Gemma-4-31B,base,normal,r_10,"(1,-10,0)",100,96.0,0,4,0,0,4,0,0,0,13,83,0,4,4.0,0,0.0,13.541666666666666,13.0,gemma-4-31b-quantitative_grading_basemodel_fs-normal_r1_-10_0
Gemma-4-31B,base,normal,r_abstain,"(-1,-10,10)",100,99.0,0,1,0,0,1,0,0,0,11,88,0,1,1.0,0,0.0,11.11111111111111,11.0,gemma-4-31b-quantitative_grading_basemodel_fs-normal_r-1_-10_10
