cohort,model,intervention,setting,raw_bin,bin_label,n,correct,mean_confidence,candidate_accuracy,ci_low,ci_high
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,5,50–60%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,6,60–70%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,7,70–80%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,8,80–90%,4,0,0.825,0.0,0.0,0.4898908364545973
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,9,90–100%,92,57,0.9856521739130434,0.6195652173913043,0.5174573253344068,0.7120884294016401
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,0,0–10%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,1,10–20%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,2,20–30%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,4,40–50%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,5,50–60%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,6,60–70%,1,0,0.6,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,7,70–80%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,8,80–90%,4,1,0.85,0.25,0.04558726080970055,0.6993581574175981
all_candidates,gemini-3.1-flash-lite-preview,1,QP7,9,90–100%,93,56,0.9768817204301076,0.6021505376344086,0.5005311962132275,0.6956657656187837
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,0,0–10%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,1,10–20%,3,0,0.10000000000000002,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,2,20–30%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,4,40–50%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,5,50–60%,2,0,0.5,0.0,0.0,0.6576197724933469
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,6,60–70%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,7,70–80%,1,0,0.7,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,8,80–90%,1,0,0.85,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-25,9,90–100%,93,60,0.9897849462365591,0.6451612903225806,0.5439349596804137,0.7348712492387599
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,0,0–10%,2,0,0.025,0.0,0.0,0.6576197724933469
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,1,10–20%,2,1,0.1,0.5,0.09453120573423074,0.9054687942657693
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,2,20–30%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,4,40–50%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,5,50–60%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,6,60–70%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,7,70–80%,1,0,0.7,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,2,Quant-100,8,80–90%,2,0,0.825,0.0,0.0,0.6576197724933469
