model,intervention,setting,percentile_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
gemini-3.1-flash-lite-preview,2,QP7,6,74,2,1.0,1.0,1.0,0.02702702702702703,0.007443352638267217,0.09329292516912502,60–70%
gemini-3.1-flash-lite-preview,2,QP7,7,0,0,,,,,,,70–80%
gemini-3.1-flash-lite-preview,2,QP7,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,2,QP7,9,0,0,,,,,,,90–100%
gpt-5.4-nano,1,Quant-25,0,7,7,0.10857142857142857,0.05,0.22,1.0,0.6456695649333126,1.0,0–10%
gpt-5.4-nano,1,Quant-25,1,18,14,0.3277777777777778,0.25,0.38,0.7777777777777778,0.5478541568378739,0.9099907189139831,10–20%
gpt-5.4-nano,1,Quant-25,2,5,3,0.45999999999999996,0.42,0.55,0.6,0.2307242812760128,0.882379225767352,20–30%
gpt-5.4-nano,1,Quant-25,3,13,10,0.666923076923077,0.62,0.72,0.7692307692307693,0.49743624053272495,0.9182047128150143,30–40%
gpt-5.4-nano,1,Quant-25,4,7,5,0.7757142857142857,0.74,0.83,0.7142857142857143,0.35893445183261935,0.9177810759959433,40–50%
gpt-5.4-nano,1,Quant-25,5,8,2,0.8625,0.86,0.88,0.25,0.071479212752109,0.5907245696898311,50–60%
gpt-5.4-nano,1,Quant-25,6,15,7,0.912,0.9,0.92,0.4666666666666667,0.24809535365737387,0.698830199745016,60–70%
gpt-5.4-nano,1,Quant-25,7,10,5,0.93,0.93,0.93,0.5,0.236593090512564,0.7634069094874361,70–80%
gpt-5.4-nano,1,Quant-25,8,8,2,0.9524999999999999,0.95,0.97,0.25,0.071479212752109,0.5907245696898311,80–90%
gpt-5.4-nano,1,Quant-25,9,9,1,0.9833333333333333,0.98,0.99,0.1111111111111111,0.019890887638544907,0.434999705576656,90–100%
gpt-5.4-nano,1,Quant-100,0,12,12,0.13083333333333333,0.01,0.22,1.0,0.7575059933447592,1.0,0–10%
gpt-5.4-nano,1,Quant-100,1,6,3,0.315,0.23,0.36,0.5,0.1876163064826506,0.8123836935173494,10–20%
gpt-5.4-nano,1,Quant-100,2,11,8,0.46545454545454545,0.4,0.6,0.7272727272727273,0.43435469882387084,0.902539407099751,20–30%
