model,intervention,setting,raw_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
gemini-3.1-flash-lite-preview,2,QP6,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,2,QP6,7,1,1,0.7,0.7,0.7,1.0,0.20654931437723745,1.0,70–80%
gemini-3.1-flash-lite-preview,2,QP6,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,2,QP6,9,94,14,0.9840425531914894,0.9,1.0,0.14893617021276595,0.0908404795865941,0.2345988505755543,90–100%
gemini-3.1-flash-lite-preview,2,QP7,0,0,0,,,,,,,0–10%
gemini-3.1-flash-lite-preview,2,QP7,1,1,1,0.1,0.1,0.1,1.0,0.20654931437723745,1.0,10–20%
gemini-3.1-flash-lite-preview,2,QP7,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,2,QP7,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,QP7,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,QP7,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,2,QP7,6,1,0,0.6,0.6,0.6,0.0,0.0,0.7934506856227626,60–70%
gemini-3.1-flash-lite-preview,2,QP7,7,0,0,,,,,,,70–80%
gemini-3.1-flash-lite-preview,2,QP7,8,1,0,0.8,0.8,0.8,0.0,0.0,0.7934506856227626,80–90%
gemini-3.1-flash-lite-preview,2,QP7,9,97,12,0.9835051546391753,0.9,1.0,0.12371134020618557,0.0722040020802373,0.20388739074856865,90–100%
gpt-5.4-nano,1,Quant-25,0,4,4,0.05,0.05,0.05,1.0,0.5101091635454027,1.0,0–10%
gpt-5.4-nano,1,Quant-25,1,1,1,0.12,0.12,0.12,1.0,0.20654931437723745,1.0,10–20%
gpt-5.4-nano,1,Quant-25,2,5,5,0.244,0.22,0.28,1.0,0.5655175352168251,1.0,20–30%
gpt-5.4-nano,1,Quant-25,3,11,11,0.34545454545454546,0.3,0.38,1.0,0.7411670330319684,1.0,30–40%
gpt-5.4-nano,1,Quant-25,4,3,3,0.43,0.42,0.45,1.0,0.4385029682449546,1.0,40–50%
gpt-5.4-nano,1,Quant-25,5,0,0,,,,,,,50–60%
gpt-5.4-nano,1,Quant-25,6,5,5,0.62,0.62,0.62,1.0,0.5655175352168251,1.0,60–70%
gpt-5.4-nano,1,Quant-25,7,12,9,0.7433333333333333,0.72,0.78,0.75,0.46769466506643426,0.9110583316059453,70–80%
gpt-5.4-nano,1,Quant-25,8,9,3,0.8588888888888888,0.83,0.88,0.3333333333333333,0.1205838183869109,0.6457978644196036,80–90%
gpt-5.4-nano,1,Quant-25,9,42,15,0.9392857142857144,0.9,0.99,0.35714285714285715,0.22989188315618772,0.5083363428054419,90–100%
gpt-5.4-nano,1,Quant-100,0,3,3,0.03666666666666667,0.01,0.05,1.0,0.4385029682449546,1.0,0–10%
gpt-5.4-nano,1,Quant-100,1,7,7,0.1457142857142857,0.12,0.18,1.0,0.6456695649333126,1.0,10–20%
gpt-5.4-nano,1,Quant-100,2,3,3,0.22333333333333336,0.22,0.23,1.0,0.4385029682449546,1.0,20–30%
gpt-5.4-nano,1,Quant-100,3,2,2,0.33499999999999996,0.32,0.35,1.0,0.34238022750665303,1.0,30–40%
gpt-5.4-nano,1,Quant-100,4,6,6,0.42333333333333334,0.4,0.48,1.0,0.6096657120978346,1.0,40–50%
gpt-5.4-nano,1,Quant-100,5,1,1,0.55,0.55,0.55,1.0,0.20654931437723745,1.0,50–60%
gpt-5.4-nano,1,Quant-100,6,9,8,0.6177777777777778,0.6,0.62,0.8888888888888888,0.5650002944233439,0.9801091123614551,60–70%
